links,district,donations_total,pages
https://www.transparencyusa.org/nc/candidate/michael-lee/donors?cycle=2020-election-cycle&by=donorTypeCode&page=,North Carolina State Senate District 9,"$1,020,331",15
https://www.transparencyusa.org/nc/candidate/dr-william-rabon/donors?cycle=2020-election-cycle&by=donorTypeCode&page=,North Carolina State Senate District 8,"$464,615",10
https://www.transparencyusa.org/nc/candidate/jim-perry/donors?cycle=2020-election-cycle&by=donorTypeCode&page=,North Carolina State Senate District 7,"$1,066,666",24
https://www.transparencyusa.org/nc/candidate/michael-lazzara/donors?cycle=2020-election-cycle&by=donorTypeCode&page=,North Carolina State Senate District 6,"$51,009",4
https://www.transparencyusa.org/nc/candidate/kevin-corbin/donors?cycle=2020-election-cycle&by=donorTypeCode&page=,North Carolina State Senate District 50,"$140,897",7
https://www.transparencyusa.org/nc/candidate/julie-mayfield/donors?cycle=2020-election-cycle&by=donorTypeCode&page=,North Carolina State Senate District 49,"$132,660",19
https://www.transparencyusa.org/nc/candidate/chuck-edwards/donors?cycle=2020-election-cycle&by=donorTypeCode&page=,North Carolina State Senate District 48,"$501,256",17
https://www.transparencyusa.org/nc/candidate/ralph-hise/donors?cycle=2020-election-cycle&by=donorTypeCode&page=,North Carolina State Senate District 47,"$264,993",6
https://www.transparencyusa.org/nc/candidate/warren-daniel/donors?cycle=2020-election-cycle&by=donorTypeCode&page=,North Carolina State Senate District 46,"$134,864",8
https://www.transparencyusa.org/nc/candidate/deanna-ballard/donors?cycle=2020-election-cycle&by=donorTypeCode&page=,North Carolina State Senate District 45,"$144,257",6
https://www.transparencyusa.org/nc/candidate/ted-alexander/donors?cycle=2020-election-cycle&by=donorTypeCode&page=,North Carolina State Senate District 44,"$93,478",9
https://www.transparencyusa.org/nc/candidate/kathy-harrington/donors?cycle=2020-election-cycle&by=donorTypeCode&page=,North Carolina State Senate District 43,"$241,214",6
https://www.transparencyusa.org/nc/candidate/h-dean-proctor/donors?cycle=2020-election-cycle&by=donorTypeCode&page=,North Carolina State Senate District 42,"$143,210",5
