seat_won,member,donor_name,tot_from_donor,tot_to_candidate,party,counties,term_start,house_district,senate_district
Representative District 1,Edward C. Goodwin,Camden County Republican Party,250,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,Carolina PAC,500,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,Communication Workers of America - COPE PCC,1000,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,Dare County Republican Party,5400,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,East Carolina Anesthesia PAC,1000,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,Elect Bob Steinburg,250,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,Friends of Tim Moore,5400,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,Friends to Elect Dr. Greg Murphy to Congress,3000,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,McGuireWoods Federal PAC Fund,500,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,National Federation of Independent Business NC PAC,3.92,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,NC Association of Electric Cooperatives Rural Electric Action Program,1000,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,NC Association of Private Investigators PAC,125,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
Representative District 1,Edward C. Goodwin,NC Association of Student Financial Aid Administrators PAC,2500,512281,R,"Bertie, Camden, Chowan, Perquimans, Tyrrell, Washington",1-Jan-19,1,NA
