"Party","District","Member","Counties Represented"
"R","96","Jay Adams","Catawba"
"D","41","Gale Adcock, FNP","Wake"
"D","115","John Ager","Buncombe"
"D","107","Kelly M. Alexander, Jr.","Mecklenburg"
"D","29","Vernetta Alston","Durham"
"R","69","Dean Arp","Union"
"D","100","John Autry","Mecklenburg"
"D","72","Amber M. Baker","Forsyth"
"R","82","Kristin Baker, M.D.","Cabarrus"
"D","49","Cynthia Ball","Wake"
"D","88","Mary Belk","Mecklenburg"
"R","10","John R. Bell, IV","Greene,                         Johnston,                         Wayne"
"R","86","Hugh Blackwell","Burke"
"R","52","James L. Boles, Jr.","Moore"
"R","98","John R. Bradford, III","Mecklenburg"
"R","22","William D. Brisson","Bladen,                         Sampson"
"D","60","Cecil Brockman","Guilford"
"R","55","Mark Brody","Anson,                         Union"
"D","92","Terry M. Brown Jr.","Mecklenburg"
"D","56","Allen Buansi                         (Appointed 5/31/22)","Orange"
"R","109","Dana Bumgardner                           (Deceased 10/2/21)","Gaston"
"D","18","Deb Butler","New Hanover"
"D","102","Becky Carney","Mecklenburg"
"R","65","Jerry Carter                           (Deceased 8/3/21)","Rockingham"
"R","119","Mike Clampitt","Haywood,                         Jackson,                         Swain"
"D","57","Ashton Wheeler Clemmons","Guilford"
"R","14","George G. Cleveland","Onslow"
"D","24","Linda Cooper-Suggs","Wilson"
"D","106","Carla D. Cunningham","Mecklenburg"
"D","11","Allison A. Dahle","Wake"
"R","20","Ted Davis, Jr.","New Hanover"
"R","4","Jimmy Dixon","Duplin,                         Onslow"
"R","94","Jeffrey Elmore","Alexander,                         Wilkes"
"D","35","Terence Everitt","Wake"
"R","62","John Faircloth","Guilford"
"D","9","Brian Farkas","Pitt"
"D","114","Susan C. Fisher                          (Resigned 1/31/22)","Buncombe"
"D","25","James D. Gailliard","Nash"
"D","32","Terry E. Garrison","Granville,                         Vance,                         Warren"
"D","33","Rosa U. Gill","Wake"
"R","120","Karl E. Gillespie","Cherokee,                         Clay,                         Graham,                         Macon"
"R","1","Edward C. Goodwin","Bertie,                         Camden,                         Chowan,                         Perquimans,                         Tyrrell,                         Washington"
"D","47","Charles Graham","Robeson"
"R","85","Dudley Greene","Avery,                         McDowell,                         Mitchell"
"R","87","Destin Hall","Caldwell"
"R","91","Kyle Hall","Rockingham,                         Stokes,                         Surry"
"R","6","Bobby Hanig                          (Resigned 8/29/22)","Currituck,                         Dare,                         Hyde,                         Pamlico"
"R","59","Jon Hardister","Guilford"
"D","105","Wesley Harris, PhD","Mecklenburg"
"D","61","Pricey Harrison","Guilford"
"R","110","Kelly E. Hastings","Cleveland,                         Gaston"
"D","31","Zack Hawkins","Durham"
"R","77","Julia C. Howard","Davie,                         Rowan"
"R","12","Chris Humphrey","Lenoir,                         Pitt"
"D","103","Rachel Hunt","Mecklenburg"
