"","party","district","member","counties","term_start"
"1","R","North Carolina State Senate District 44","W. Ted Alexander","Cleveland, Gaston, Lincoln","January 1, 2019"
"2","R","North Carolina State Senate District 45","Deanna Ballard","Alleghany, Ashe, Surry, Watauga, Wilkes","April 26, 2016"
"3","R","North Carolina State Senate District 11","Lisa S. Barnes","Johnston, Nash","January 1, 2021"
"4","D","North Carolina State Senate District 17","Sydney Batch (Appointed 1/11/21)","Wake","January 13, 2021"
"5","D","North Carolina State Senate District 3","Ernestine Bazemore","Beaufort, Bertie, Martin, Northampton, Vance, Warren","January 1, 2021"
"6","R","North Carolina State Senate District 30","Phil Berger","Caswell, Rockingham, Stokes, Surry","January 1, 2019"
"7","D","North Carolina State Senate District 14","Dan Blue","Wake","2009"
"8","R","North Carolina State Senate District 13","Danny Earl Britt, Jr.","Columbus, Robeson","January 1, 2017"
"9","R","North Carolina State Senate District 12","Jim Burgin","Harnett, Johnston, Lee","January 1, 2019"
"10","D","North Carolina State Senate District 15","Jay J. Chaudhuri","Wake","January 1, 2019"
"11","D","North Carolina State Senate District 21","Ben Clark","Cumberland, Hoke","2013"
"12","R","North Carolina State Senate District 50","Kevin Corbin","Cherokee, Clay, Graham, Haywood, Jackson, Macon, Swain","January 1, 2021"
"13","R","North Carolina State Senate District 26","David W. Craven, Jr.","Guilford, Randolph","July 17, 2020"
"14","D","North Carolina State Senate District 18","Sarah Crawford","Franklin, Wake","January 1, 2021"
"15","R","North Carolina State Senate District 46","Warren Daniel","Avery, Burke, Caldwell","January 1, 2013"
"16","D","North Carolina State Senate District 5","Don Davis","Greene, Pitt","2013"
"17","D","North Carolina State Senate District 19","Kirk deViere","Cumberland","January 1, 2019"
"18","R","North Carolina State Senate District 48","Chuck Edwards","Buncombe, Henderson, Transylvania","September 13, 2016"
"19","D","North Carolina State Senate District 4","Milton F. ""Toby"" Fitch, Jr.","Edgecombe, Halifax, Wilson","2018"
"20","R","North Carolina State Senate District 33","Carl Ford","Rowan, Stanly","January 1, 2019"
"21","D","North Carolina State Senate District 23","Valerie P. Foushee","Chatham, Orange","September 13, 2013"
"22","R","North Carolina State Senate District 24","Amy S. Galey","Alamance, Guilford","January 1, 2021"
"23","D","North Carolina State Senate District 27","Michael Garrett","Guilford","January 1, 2019"
"24","R","North Carolina State Senate District 1","Bobby Hanig (Appointed 8/26/22)","Camden, Chowan, Currituck, Dare, Gates, Hertford, Hyde, Pasquotank, Perquimans, Tyrrell, Washington","August 29, 2022"
"25","R","North Carolina State Senate District 43","Kathy Harrington","Gaston","January 1, 2011"
"26","R","North Carolina State Senate District 47","Ralph Hise","Madison, McDowell, Mitchell, Polk, Rutherford, Yancey","January 1, 2011"
"27","R","North Carolina State Senate District 10","Brent Jackson","Duplin, Johnston, Sampson","January 1, 2011"
"28","D","North Carolina State Senate District 37","Jeff Jackson","Mecklenburg","May 6, 2014"
"29","R","North Carolina State Senate District 29","Steve Jarvis","Davidson, Montgomery","January 1, 2021"
"30","R","North Carolina State Senate District 35","Todd Johnson","Union","January 1, 2019"
"31","R","North Carolina State Senate District 31","Joyce Krawiec","Davie, Forsyth","January 10, 2014"
"32","R","North Carolina State Senate District 6","Michael A. Lazzara","Jones, Onslow","January 1, 2021"
"33","R","North Carolina State Senate District 9","Michael V. Lee","NewHanover","January 1, 2021"
"34","D","North Carolina State Senate District 32","Paul A. Lowe, Jr.","Forsyth","January 30, 2015"
"35","D","North Carolina State Senate District 41","Natasha R. Marcus","Mecklenburg","January 1, 2019"
"36","D","North Carolina State Senate District 49","Julie Mayfield","Buncombe","January 1, 2021"
"37","R","North Carolina State Senate District 25","Tom McInnis","Anson, Moore, Richmond, Scotland","January 1, 2015"
"38","D","North Carolina State Senate District 38","Mujtaba A. Mohammed","Mecklenburg","January 1, 2019"
"39","D","North Carolina State Senate District 20","Natalie S. Murdock","Durham","April 1, 2020"
"40","R","North Carolina State Senate District 36","Paul Newton","Cabarrus, Union","January 1, 2017"
"41","D","North Carolina State Senate District 16","Wiley Nickel","Wake","January 1, 2019"
"42","R","North Carolina State Senate District 7","Jim Perry","Lenoir, Wayne","2019"
"43","R","North Carolina State Senate District 42","Dean Proctor","Alexander, Catawba","August 15, 2020"
"44","R","North Carolina State Senate District 8","Bill Rabon","Bladen, Brunswick, NewHanover, Pender","January 1, 2011"
"45","D","North Carolina State Senate District 28","Gladys A. Robinson","Guilford","January 1, 2011"
"46","D","North Carolina State Senate District 39","DeAndrea Salvador","Mecklenburg","January 1, 2021"
"47","R","North Carolina State Senate District 2","Norman W. Sanderson","Carteret, Craven, Pamlico","2013"
"48","R","North Carolina State Senate District 34","Vickie Sawyer","Iredell, Yadkin","January 1, 2019"
"49","D","North Carolina State Senate District 17","Sam Searcy (Resigned 1/6/21)","Wake","January 13, 2021"
"50","R","North Carolina State Senate District 1","Bob Steinburg (Resigned 7/31/22)","Camden, Chowan, Currituck, Dare, Gates, Hertford, Hyde, Pasquotank, Perquimans, Tyrrell, Washington","August 29, 2022"
"51","D","North Carolina State Senate District 40","Joyce Waddell","Mecklenburg","January 1, 2015"
"52","D","North Carolina State Senate District 22","Mike Woodard","Durham, Granville, Person","2013"
"53","R","North Carolina House of Representatives District 96","Jay Adams","Catawba","January 1, 2015"
"54","D","North Carolina House of Representatives District 41","Gale Adcock, FNP","Wake","January 1, 2015"
"55","D","North Carolina House of Representatives District 115","John Ager","Buncombe","January 1, 2015"
"56","D","North Carolina House of Representatives District 107","Kelly M. Alexander, Jr.","Mecklenburg","2009"
"57","D","North Carolina House of Representatives District 29","Vernetta Alston","Durham","April 13, 2020"
"58","R","North Carolina House of Representatives District 69","Dean Arp","Union","2013"
"59","D","North Carolina House of Representatives District 100","John Autry","Mecklenburg","January 1, 2017"
"60","D","North Carolina House of Representatives District 72","Amber M. Baker","Forsyth","January 1, 2021"
"61","R","North Carolina House of Representatives District 82","Kristin Baker, M.D.","Cabarrus","March 19, 2020"
"62","D","North Carolina House of Representatives District 49","Cynthia Ball","Wake","January 1, 2017"
"63","D","North Carolina House of Representatives District 88","Mary Belk","Mecklenburg","January 1, 2017"
"64","R","North Carolina House of Representatives District 10","John R. Bell, IV","Greene, Johnston, Wayne","2013"
"65","R","North Carolina House of Representatives District 86","Hugh Blackwell","Burke","2009"
"66","R","North Carolina House of Representatives District 52","James L. Boles, Jr.","Moore","2009"
"67","R","North Carolina House of Representatives District 98","John R. Bradford, III","Mecklenburg","January 1, 2021"
"68","R","North Carolina House of Representatives District 22","William D. Brisson","Bladen, Sampson","2007"
"69","D","North Carolina House of Representatives District 60","Cecil Brockman","Guilford","January 1, 2015"
"70","R","North Carolina House of Representatives District 55","Mark Brody","Anson, Union","2013"
"71","D","North Carolina House of Representatives District 92","Terry M. Brown Jr.","Mecklenburg","January 1, 2021"
