"Party","District","Member","Counties Represented"
"R","44","W. Ted Alexander","Cleveland,                         Gaston,                         Lincoln"
"R","45","Deanna Ballard","Alleghany,                         Ashe,                         Surry,                         Watauga,                         Wilkes"
"R","11","Lisa S. Barnes","Johnston,                         Nash"
"D","17","Sydney Batch                         (Appointed 1/11/21)","Wake"
"D","3","Ernestine Bazemore","Beaufort,                         Bertie,                         Martin,                         Northampton,                         Vance,                         Warren"
"R","30","Phil Berger","Caswell,                         Rockingham,                         Stokes,                         Surry"
"D","14","Dan Blue","Wake"
"R","13","Danny Earl Britt, Jr.","Columbus,                         Robeson"
"R","12","Jim Burgin","Harnett,                         Johnston,                         Lee"
"D","15","Jay J. Chaudhuri","Wake"
"D","21","Ben Clark","Cumberland,                         Hoke"
"R","50","Kevin Corbin","Cherokee,                         Clay,                         Graham,                         Haywood,                         Jackson,                         Macon,                         Swain"
"R","26","David W. Craven, Jr.","Guilford,                         Randolph"
"D","18","Sarah Crawford","Franklin,                         Wake"
"R","46","Warren Daniel","Avery,                         Burke,                         Caldwell"
"D","5","Don Davis","Greene,                         Pitt"
"D","19","Kirk deViere","Cumberland"
"R","48","Chuck Edwards","Buncombe,                         Henderson,                         Transylvania"
"D","4","Milton F. ""Toby"" Fitch, Jr.","Edgecombe,                         Halifax,                         Wilson"
"R","33","Carl Ford","Rowan,                         Stanly"
"D","23","Valerie P. Foushee","Chatham,                         Orange"
"R","24","Amy S. Galey","Alamance,                         Guilford"
"D","27","Michael Garrett","Guilford"
"R","1","Bobby Hanig                         (Appointed 8/26/22)","Camden,                         Chowan,                         Currituck,                         Dare,                         Gates,                         Hertford,                         Hyde,                         Pasquotank,                         Perquimans,                         Tyrrell,                         Washington"
"R","43","Kathy Harrington","Gaston"
"R","47","Ralph Hise","Madison,                         McDowell,                         Mitchell,                         Polk,                         Rutherford,                         Yancey"
"R","10","Brent Jackson","Duplin,                         Johnston,                         Sampson"
"D","37","Jeff Jackson","Mecklenburg"
"R","29","Steve Jarvis","Davidson,                         Montgomery"
"R","35","Todd Johnson","Union"
"R","31","Joyce Krawiec","Davie,                         Forsyth"
"R","6","Michael A. Lazzara","Jones,                         Onslow"
"R","9","Michael V. Lee","New Hanover"
"D","32","Paul A. Lowe, Jr.","Forsyth"
"D","41","Natasha R. Marcus","Mecklenburg"
"D","49","Julie Mayfield","Buncombe"
"R","25","Tom McInnis","Anson,                         Moore,                         Richmond,                         Scotland"
"D","38","Mujtaba A. Mohammed","Mecklenburg"
"D","20","Natalie S. Murdock","Durham"
"R","36","Paul Newton","Cabarrus,                         Union"
"D","16","Wiley Nickel","Wake"
"R","7","Jim Perry","Lenoir,                         Wayne"
"R","42","Dean Proctor","Alexander,                         Catawba"
"R","8","Bill Rabon","Bladen,                         Brunswick,                         New Hanover,                         Pender"
"D","28","Gladys A. Robinson","Guilford"
"D","39","DeAndrea Salvador","Mecklenburg"
"R","2","Norman W. Sanderson","Carteret,                         Craven,                         Pamlico"
"R","34","Vickie Sawyer","Iredell,                         Yadkin"
"D","17","Sam Searcy                          (Resigned 1/6/21)","Wake"
"R","1","Bob Steinburg                          (Resigned 7/31/22)","Camden,                         Chowan,                         Currituck,                         Dare,                         Gates,                         Hertford,                         Hyde,                         Pasquotank,                         Perquimans,                         Tyrrell,                         Washington"
"D","40","Joyce Waddell","Mecklenburg"
"D","22","Mike Woodard","Durham,                         Granville,                         Person"
