links,district,value
https://www.transparencyusa.org/nc/candidate/michael-lee/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 9,"$1,020,331"
https://www.transparencyusa.org/nc/candidate/dr-william-rabon/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 8,"$464,615"
https://www.transparencyusa.org/nc/candidate/jim-perry/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 7,"$1,066,666"
https://www.transparencyusa.org/nc/candidate/michael-lazzara/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 6,"$51,009"
https://www.transparencyusa.org/nc/candidate/kevin-corbin/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 50,"$140,897"
https://www.transparencyusa.org/nc/candidate/julie-mayfield/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 49,"$132,660"
https://www.transparencyusa.org/nc/candidate/chuck-edwards/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 48,"$501,256"
https://www.transparencyusa.org/nc/candidate/ralph-hise/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 47,"$264,993"
https://www.transparencyusa.org/nc/candidate/warren-daniel/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 46,"$134,864"
https://www.transparencyusa.org/nc/candidate/deanna-ballard/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 45,"$144,257"
https://www.transparencyusa.org/nc/candidate/ted-alexander/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 44,"$93,478"
https://www.transparencyusa.org/nc/candidate/kathy-harrington/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 43,"$241,214"
https://www.transparencyusa.org/nc/candidate/h-dean-proctor/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 42,"$143,210"
https://www.transparencyusa.org/nc/candidate/natasha-marcus/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 41,"$381,610"
https://www.transparencyusa.org/nc/candidate/joyce-waddell/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 40,"$24,477"
https://www.transparencyusa.org/nc/candidate/milton-f-fitch-jr/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 4,"$98,083"
https://www.transparencyusa.org/nc/candidate/deandrea-salvador/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 39,"$149,150"
https://www.transparencyusa.org/nc/candidate/mujtaba-mohammed/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 38,"$261,249"
https://www.transparencyusa.org/nc/candidate/jeff-jackson/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 37,"$1,062,370"
https://www.transparencyusa.org/nc/candidate/paul-newton/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 36,"$483,785"
https://www.transparencyusa.org/nc/candidate/todd-johnson/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 35,"$205,317"
https://www.transparencyusa.org/nc/candidate/vickie-sawyer/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 34,"$157,396"
https://www.transparencyusa.org/nc/candidate/carl-ford/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 33,"$36,246"
https://www.transparencyusa.org/nc/candidate/rev-paul-lowe/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 32,"$156,954"
https://www.transparencyusa.org/nc/candidate/joyce-krawiec/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 31,"$1,537,332"
https://www.transparencyusa.org/nc/candidate/phil-berger/donors?cycle=2020-election-cycle&by=donorTypeCode,North Carolina State Senate District 30,"$2,102,305"
