"","house_district","rep","term_start"
"1","North Carolina House of Representatives District 1","Ed Goodwin","January 1, 2019"
"2","North Carolina House of Representatives District 2","Larry Yarborough","January 1, 2015"
"3","North Carolina House of Representatives District 3","Steve Tyson","January 1, 2021"
"4","North Carolina House of Representatives District 4","James Dixon","2011"
"5","North Carolina House of Representatives District 5","Howard Hunter III","January 1, 2015"
"6","North Carolina House of Representatives District 6","Vacant",""
"7","North Carolina House of Representatives District 7","Matthew Winslow","January 1, 2021"
"8","North Carolina House of Representatives District 8","Kandie Smith","January 1, 2019"
"9","North Carolina House of Representatives District 9","Brian Farkas","January 1, 2021"
"10","North Carolina House of Representatives District 10","John Bell","2013"
"11","North Carolina House of Representatives District 11","Allison Dahle","January 1, 2019"
"12","North Carolina House of Representatives District 12","Chris Humphrey","January 1, 2019"
"13","North Carolina House of Representatives District 13","Patricia McElraft","2007"
"14","North Carolina House of Representatives District 14","George Cleveland","2005"
"15","North Carolina House of Representatives District 15","Phillip Shepard","2011"
"16","North Carolina House of Representatives District 16","Carson Smith Jr.","January 1, 2019"
"17","North Carolina House of Representatives District 17","Frank Iler","2009"
"18","North Carolina House of Representatives District 18","Deb Butler","February 6, 2017"
"19","North Carolina House of Representatives District 19","Charles Miller","January 1, 2021"
"20","North Carolina House of Representatives District 20","Ted Davis Jr.","January 1, 2021"
"21","North Carolina House of Representatives District 21","Raymond Smith Jr.","January 1, 2019"
"22","North Carolina House of Representatives District 22","William Brisson","2007"
"23","North Carolina House of Representatives District 23","Shelly Willingham","January 1, 2015"
"24","North Carolina House of Representatives District 24","Linda Cooper-Suggs","July 27, 2020"
"25","North Carolina House of Representatives District 25","James Gailliard","January 1, 2019"
"26","North Carolina House of Representatives District 26","Donna McDowell White","January 1, 2017"
"27","North Carolina House of Representatives District 27","Michael Wray","2005"
"28","North Carolina House of Representatives District 28","Larry Strickland","January 1, 2017"
"29","North Carolina House of Representatives District 29","Vernetta Alston","April 13, 2020"
"30","North Carolina House of Representatives District 30","Marcia Morey","April 5, 2017"
"31","North Carolina House of Representatives District 31","Zack Forde-Hawkins","January 1, 2019"
"32","North Carolina House of Representatives District 32","Terry Garrison","January 1, 2017"
"33","North Carolina House of Representatives District 33","Rosa Gill","June 18, 2009"
"34","North Carolina House of Representatives District 34","Jack Nichols","July 15, 2022"
"35","North Carolina House of Representatives District 35","Terence Everitt","January 1, 2019"
"36","North Carolina House of Representatives District 36","Julie von Haefen","January 1, 2019"
"37","North Carolina House of Representatives District 37","Erin Paré","January 1, 2021"
"38","North Carolina House of Representatives District 38","Abraham P. Jones","January 1, 2021"
"39","North Carolina House of Representatives District 39","James Roberson","January 13, 2021"
"40","North Carolina House of Representatives District 40","Joe John","January 1, 2017"
"41","North Carolina House of Representatives District 41","Gale Adcock","January 1, 2015"
"42","North Carolina House of Representatives District 42","Marvin Lucas, Jr.","2001"
"43","North Carolina House of Representatives District 43","Diane Wheatley","January 1, 2021"
"44","North Carolina House of Representatives District 44","William Richardson","September 1, 2015"
"45","North Carolina House of Representatives District 45","John Szoka","2013"
"46","North Carolina House of Representatives District 46","Brenden Jones","January 1, 2017"
